Case UPC,Client,Item UPC,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
25628,HOSTFZN,25387,6/10 OZ,HOSTESS KAZBAR CHOCOLATE,LP404062,MULTI PACK 8 PK,SBS HST,6
25629,HOSTFZN,25389,6/10 OZ,HOSTESS KAZBAR CHOCH CRML,LP404062,MULTI PACK 8 PK,SBS HST,6
25653,HOSTFZN,25647,6/8/4.25 OZ,HST BLUEBERRY FRT PIE SS,,HST SS 8CT 6PK,SBS HST,48
25654,HOSTFZN,25650,6/8/4.25 OZ,HST PEACH FRUIT PIE SS,,HST SS 8CT 6PK,SBS HST,48
25656,HOSTFZN,25614,6/9.31 OZ,HOSTESS DBL CHOC MELTAMOR,LP404527,MULTI PACK 6 PK,SBS HST,6
25657,HOSTFZN,25616,6/9.31 OZ,HOSTESS CHOC CRML MELTAMR,LP404527,MULTI PACK 6 PK,SBS HST,6
25662,HOSTFZN,25661,6/12.7 OZ,HOSTESS STRAWBERRY CPCK,LP404044,MULTI PACK 6 PK,SBS HST,6
25666,HOSTFZN,25664,6/6/3.17 OZ,HOSTESS STRWBRY CPCK SS,LP404301,HST SS 6CT 6PK,SBS HST,36
25670,HOSTFZN,25605,6/6/2.33 OZ,HOSTESS DBL CHOC MLTMR SS,LP404509,HST SS 6CT 6PK,SBS HST,36
25677,HOSTFZN,,42/1 EA,HOSTESS HOLIDAY SS SHPPR,LP404398,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,42
25685,HOSTFZN,,108/1 EA,HOSTESS FAMILY PK HLF PLT,LP404495,SHIPPER/DISPLAYS/PALLETS CORE,SBS HST,108
25689,HOSTFZN,25688,6/10.72 OZ,HSTSS WHT FDG DING DONGS,LP404570,MULTI PACK LTO 6 PK,SBS HST,6
25696,HOSTFZN,,48/1 EA,HST SPRING MP CAKE SHPPR,,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,48
25719,HOSTFZN,1264,6/10/3 OZ,HST FRSTSTRWBRY MNDNT SS6,LP404889,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,60
25720,HOSTFZN,25393,6/6/2.5 OZ,SS STRAW CHSCK BBY BNDTS,,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,36
25722,HOSTFZN,,42/1 EA,VALENTINES DAY SS FLRSTND,,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,42
25727,HOSTFZN,25725,10/6/3 OZ,HOSTESS HONEY BUN DNT SS,LP404309,HST SS 10CT 6PK,SBS HST,60
25730,HOSTFZN,25475,6/10.86 OZ,HOSTESS RWB TWINKIES MP,LP404103,MULTI PACK LTO 6 PK,SBS HST,6
25737,HOSTFZN,,48/1 EA,HOSTESS RWB CAKE SHIPPER,LP404546,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,48
25745,HOSTFZN,25744,6/10.5 OZ,HOSTESS HONEY BUN DNT FZ,LP403936,BAG DONUT 6PK,SBS HST,6
25749,HOSTFZN,,54/1 EA,HOSTESS FMLY PK QTR PLT,LP404502,SHIPPER/DISPLAYS/PALLETS CORE,SBS HST,54
25752,HOSTFZN,1267,10/6/3 OZ,HST STRWBRY GLZ DNT SS,LP404372,HST DONETTES 10/6 CT,SBS HST,60
